,City,Temperature,Humidity,Longitude,Latitude,Cloudiness,Country,Windspeed,Date
0,san quintin,68.92,59,-115.95,30.4833,1,MX,15.86,1651877073
1,taoudenni,88.84,12,-3.9836,22.6783,2,ML,11.36,1651877073
2,puerto ayora,76.96,85,-90.3518,-0.7393,99,EC,9.22,1651877074
3,ushuaia,42.46,65,-68.3,-54.8,40,AR,20.71,1651877052
4,oistins,80.69,78,-59.5333,13.0667,20,BB,14.97,1651877007
5,atuona,78.93,74,-139.0333,-9.8,22,PF,14.32,1651877075
6,busselton,55.36,61,115.3333,-33.65,0,AU,7.74,1651877076
7,pangnirtung,14.0,85,-65.7125,66.1451,20,CA,8.05,1651877077
8,mataura,57.47,71,168.8643,-46.1927,98,NZ,3.53,1651877078
9,bambanglipuro,77.05,90,110.2833,-7.95,56,ID,3.09,1651877079
10,bengkulu,76.06,90,102.2655,-3.8004,100,ID,5.41,1651877079
11,saint george,93.72,9,-113.5841,37.1041,0,US,9.22,1651876781
12,chokurdakh,22.75,90,147.9167,70.6333,100,RU,3.83,1651877081
13,ribeira grande,61.54,65,-28.7,38.5167,38,PT,4.59,1651877082
14,jamestown,54.55,81,-79.2353,42.097,100,US,16.11,1651877082
15,kapaa,76.33,83,-159.319,22.0752,75,US,17.27,1651877057
16,salisbury,55.99,81,-1.7957,51.0693,75,GB,5.75,1651876954
17,albany,58.08,62,-73.9662,42.6001,100,US,2.98,1651877084
18,georgetown,78.51,93,100.3354,5.4112,20,MY,3.44,1651876790
19,juba,75.92,71,31.5825,4.8517,93,SS,3.51,1651877085
20,hobart,50.34,86,147.3294,-42.8794,75,AU,11.5,1651877086
21,burns lake,45.82,36,-125.7533,54.2331,100,CA,7.07,1651876797
22,lanzhou,66.0,47,103.7922,36.0564,7,CN,1.41,1651877088
23,pionerskiy,43.75,80,20.2275,54.9508,0,RU,12.12,1651877088
24,nanortalik,33.98,99,-45.2371,60.1432,100,GL,4.05,1651877089
25,punta arenas,44.71,81,-70.9167,-53.15,100,CL,9.22,1651876824
