,City,Temperature,Humidity,Longitude,Latitude,Cloudiness,Country,Windspeed,Date
0,cabo san lucas,82.53,44,-109.9124,22.8909,0,MX,12.66,1651882542
1,cockburn town,76.96,78,-71.1419,21.4612,40,TC,11.5,1651882543
2,rikitea,77.52,85,-134.9692,-23.1203,89,PF,14.85,1651882543
3,salalah,82.49,83,54.0924,17.0151,20,OM,1.14,1651882544
4,lac-megantic,37.35,66,-70.8823,45.5834,11,CA,2.89,1651882545
5,vaini,80.76,74,-175.2,-21.2,40,TO,8.05,1651882546
6,mataura,60.48,70,168.8643,-46.1927,96,NZ,3.36,1651882546
7,mastic beach,49.26,87,-72.8521,40.7668,100,US,10.0,1651882548
8,acapulco,82.22,74,-99.8901,16.8634,40,MX,6.91,1651882509
9,qaanaaq,15.64,85,-69.3632,77.484,100,GL,5.19,1651882549
10,avarua,80.46,75,-159.775,-21.2078,6,CK,9.75,1651882386
11,atuona,79.16,72,-139.0333,-9.8,20,PF,14.45,1651882550
12,bubaque,78.01,74,-15.8333,11.2833,15,GW,16.35,1651882551
13,esperance,56.25,73,121.9,-33.8667,0,AU,12.44,1651882552
14,kruisfontein,59.38,82,24.7314,-34.0033,97,ZA,8.01,1651882552
15,tasiilaq,24.96,64,-37.6368,65.6145,7,GL,3.51,1651882553
16,solotvyn,48.51,91,24.4221,48.7021,92,UA,3.85,1651882554
17,bredasdorp,56.53,90,20.0403,-34.5322,100,ZA,1.28,1651882555
18,honiara,87.6,65,159.95,-9.4333,11,SB,8.12,1651882555
19,ahipara,67.73,55,173.1667,-35.1667,0,NZ,1.95,1651882557
20,ushuaia,44.26,65,-68.3,-54.8,75,AR,8.05,1651882558
21,port alfred,63.18,87,26.891,-33.5906,92,ZA,3.0,1651882558
22,fort morgan,83.05,13,-103.8,40.2503,0,US,10.36,1651882559
23,nantucket,50.74,90,-70.0995,41.2835,100,US,4.61,1651882560
24,new norfolk,49.62,76,147.0587,-42.7826,100,AU,5.01,1651882560
25,itarema,76.75,88,-39.9167,-2.9248,97,BR,12.35,1651882561
26,dikson,19.06,94,80.5464,73.5069,100,RU,14.29,1651882562
27,soteapan,77.43,46,-94.8667,18.2333,6,MX,5.95,1651882562
28,klaksvik,32.92,62,-6.589,62.2266,63,FO,6.69,1651882563
29,wloszczowa,51.17,65,19.9659,50.8526,100,PL,3.38,1651882564
30,baryatino,43.23,77,34.521,54.3121,85,RU,6.08,1651882565
31,livingston,46.85,89,-3.5226,55.9029,0,GB,4.61,1651882565
32,albany,55.11,70,-73.9662,42.6001,100,US,3.51,1651882469
33,severnyy,42.84,52,36.5532,50.677,0,RU,4.47,1651882566
34,carnarvon,64.47,52,113.6333,-24.8667,100,AU,9.22,1651882567
35,puerto ayora,73.4,88,-90.3518,-0.7393,94,EC,8.46,1651882568
36,hirara,79.07,78,125.2833,24.8,40,JP,2.3,1651882568
37,talnakh,13.21,94,88.3972,69.4865,99,RU,2.26,1651882569
38,namibe,74.53,68,12.1522,-15.1961,0,AO,2.55,1651882570
39,kapaa,76.71,82,-159.319,22.0752,75,US,17.27,1651882571
40,sola,82.11,69,167.55,-13.8833,69,VU,20.11,1651882571
41,stokmarknes,40.66,80,14.9108,68.5646,79,NO,34.63,1651882572
42,ponta do sol,64.13,53,-17.1,32.6667,61,PT,3.94,1651882573
43,lagunas,74.25,89,-75.6753,-5.2269,67,PE,2.35,1651882574
44,iskitim,42.73,53,83.3045,54.6366,93,RU,19.42,1651882574
45,cape town,56.77,87,18.4232,-33.9258,75,ZA,16.11,1651882508
46,nedjo,61.12,78,35.5019,9.5046,30,ET,2.64,1651882576
47,kirakira,85.62,71,161.9205,-10.4544,23,SB,9.89,1651882576
48,nushki,79.52,14,66.0215,29.5542,0,PK,5.46,1651882577
49,upernavik,8.01,87,-56.1549,72.7868,3,GL,6.22,1651882565
50,natal,77.22,94,-35.2094,-5.795,75,BR,10.36,1651882578
51,lavrentiya,25.12,83,-171.0,65.5833,42,RU,5.68,1651882579
52,itoman,76.84,92,127.6694,26.1247,75,JP,11.5,1651882579
53,punta arenas,44.71,81,-70.9167,-53.15,100,CL,8.05,1651882580
54,ust-koksa,48.54,70,85.6108,50.2696,3,RU,2.59,1651882581
55,nautla,84.78,74,-96.7833,20.2167,13,MX,11.48,1651882581
56,sena madureira,77.47,74,-68.6569,-9.0656,85,BR,2.59,1651882582
57,guerrero negro,67.3,68,-114.0611,27.9769,4,MX,17.85,1651882583
58,tuktoyaktuk,30.2,86,-133.0374,69.4541,100,CA,8.05,1651882583
59,brovary,51.78,66,30.7667,50.5,69,UA,7.54,1651882586
60,caraballeda,82.36,80,-66.8522,10.6112,75,VE,2.3,1651882587
61,hasaki,68.4,77,140.8333,35.7333,95,JP,11.99,1651882587
62,kashin,40.93,75,37.6081,57.3592,77,RU,6.73,1651882588
63,chokurdakh,23.99,89,147.9167,70.6333,100,RU,3.85,1651882589
64,qingyuan,76.98,91,113.0333,23.7,100,CN,2.57,1651882589
65,clyde river,8.83,92,-68.5914,70.4692,0,CA,8.05,1651882590
66,yulara,55.24,47,130.9889,-25.2406,0,AU,16.11,1651882591
67,jamestown,53.76,84,-79.2353,42.097,100,US,13.8,1651882592
68,lethem,78.87,80,-59.7968,3.3803,90,GY,7.02,1651882592
69,oshikango,62.96,45,15.8833,-17.4,0,NA,7.23,1651882593
70,metro,77.02,90,105.3067,-5.1131,99,ID,2.53,1651882594
71,nemuro,47.34,89,145.575,43.3236,34,JP,17.87,1651882594
72,live oak,68.22,65,-121.9805,36.9836,75,US,11.5,1651882576
73,khatanga,12.15,89,102.5,71.9667,99,RU,18.88,1651882595
74,eyl,82.06,83,49.8164,7.9803,5,SO,12.26,1651882596
75,turayf,52.05,66,38.6637,31.6725,0,SA,9.22,1651882597
76,ayorou,94.64,14,0.9174,14.7308,97,NE,10.69,1651882597
77,lagoa,60.26,71,-27.9833,39.05,20,PT,5.12,1651882598
78,waipawa,63.1,60,175.5153,-41.4122,7,NZ,5.01,1651882599
79,kodiak,45.91,76,-152.4072,57.79,100,US,12.66,1651882599
80,austin,91.44,51,-97.7431,30.2672,0,US,10.36,1651882502
81,rudbar,84.83,15,62.6,30.15,28,AF,7.83,1651882601
82,butaritari,82.04,71,172.7902,3.0707,98,KI,11.54,1651882601
83,la ronge,55.62,82,-105.2842,55.1001,75,CA,12.66,1651882602
84,hermanus,54.81,86,19.2345,-34.4187,100,ZA,8.03,1651882603
85,rio gallegos,48.25,66,-69.2181,-51.6226,75,AR,12.66,1651882524
86,petropavlovsk-kamchatskiy,57.79,29,158.6483,53.0452,0,RU,4.47,1651882604
87,yining,72.81,79,114.5636,29.0361,100,CN,0.25,1651882604
88,ribeira grande,61.41,65,-28.7,38.5167,48,PT,3.89,1651882605
89,narsaq,37.62,98,-46.05,60.9167,100,GL,3.69,1651882606
90,angouleme,50.4,73,0.15,45.65,0,FR,3.44,1651882607
91,cherskiy,32.92,100,161.3,68.75,100,RU,4.59,1651882607
92,san patricio,85.24,64,-97.5169,28.017,1,US,17.98,1651882608
93,slave lake,44.58,81,-114.769,55.2834,100,CA,19.57,1651882508
94,nandikotkur,85.12,46,78.2667,15.8667,87,IN,6.17,1651882609
95,novouzensk,39.45,57,48.1431,50.4592,55,RU,9.91,1651882610
96,antalaha,73.63,88,50.2788,-14.9003,7,MG,4.94,1651882611
97,touros,77.79,90,-35.4608,-5.1989,77,BR,12.21,1651882611
98,puck,47.01,76,18.4084,54.7179,1,PL,8.37,1651882612
99,belaya gora,28.74,93,146.4167,68.5333,95,RU,2.04,1651882344
100,port keats,77.32,35,129.55,-14.25,6,AU,16.73,1651882613
101,samarai,83.82,76,150.6667,-10.6167,18,PG,10.07,1651882614
102,sao gabriel da cachoeira,73.85,98,-67.0892,-0.1303,90,BR,1.68,1651882615
103,byron bay,66.94,92,153.6167,-28.65,100,AU,7.72,1651882409
104,pevek,30.15,90,170.3133,69.7008,100,RU,0.6,1651882616
105,labuhan,80.22,86,112.2051,-6.8844,72,ID,5.88,1651882617
106,karratha,76.41,45,116.8463,-20.7377,2,AU,20.36,1651882617
107,sistranda,42.76,68,8.834,63.7256,77,NO,26.64,1651882618
108,alofi,80.49,83,-169.9187,-19.0595,23,NU,3.44,1651882619
109,nhulunbuy,84.81,65,136.7667,-12.2333,40,AU,18.41,1651882620
110,moerai,78.46,79,-151.3333,-22.4333,63,PF,10.8,1651882620
111,paamiut,31.12,97,-49.6678,61.994,86,GL,1.86,1651882621
112,springbok,46.06,97,17.8865,-29.6643,27,ZA,4.12,1651882622
113,russell,76.87,50,-85.1999,32.3502,40,US,8.05,1651882622
114,faanui,81.75,72,-151.75,-16.4833,2,PF,3.2,1651882623
115,sao felix do xingu,72.72,97,-51.995,-6.6447,63,BR,2.95,1651882624
